country,sector,year,project_count,project_value_eur_millions
Austria,Defence,1990,0,0.0
Austria,Defence,1991,0,0.0
Austria,Defence,1992,0,0.0
Austria,Defence,1993,0,0.0
Austria,Defence,1994,0,0.0
Austria,Defence,1995,0,0.0
Austria,Defence,1996,0,0.0
Austria,Defence,1997,0,0.0
Austria,Defence,1998,0,0.0
Austria,Defence,1999,0,0.0
Austria,Defence,2000,0,0.0
Austria,Defence,2001,0,0.0
Austria,Defence,2002,0,0.0
Austria,Defence,2003,0,0.0
Austria,Defence,2004,0,0.0
Austria,Defence,2005,0,0.0
Austria,Defence,2006,0,0.0
Austria,Defence,2007,0,0.0
Austria,Defence,2008,0,0.0
Austria,Defence,2009,0,0.0
Austria,Defence,2010,0,0.0
Austria,Defence,2011,0,0.0
Austria,Defence,2012,0,0.0
Austria,Defence,2013,0,0.0
Austria,Defence,2014,0,0.0
Austria,Defence,2015,0,0.0
Austria,Defence,2016,0,0.0
Austria,Defence,2017,0,0.0
Austria,Defence,2018,0,0.0
Austria,Defence,2019,0,0.0
Austria,Defence,2020,0,0.0
Austria,Defence,2021,0,0.0
Austria,Education,1990,0,0.0
Austria,Education,1991,0,0.0
Austria,Education,1992,0,0.0
Austria,Education,1993,0,0.0
Austria,Education,1994,0,0.0
Austria,Education,1995,0,0.0
Austria,Education,1996,0,0.0
Austria,Education,1997,0,0.0
Austria,Education,1998,0,0.0
Austria,Education,1999,0,0.0
Austria,Education,2000,0,0.0
Austria,Education,2001,0,0.0
Austria,Education,2002,0,0.0
Austria,Education,2003,0,0.0
Austria,Education,2004,0,0.0
Austria,Education,2005,0,0.0
Austria,Education,2006,0,0.0
Austria,Education,2007,0,0.0
Austria,Education,2008,0,0.0
Austria,Education,2009,0,0.0
Austria,Education,2010,0,0.0
Austria,Education,2011,0,0.0
Austria,Education,2012,0,0.0
Austria,Education,2013,0,0.0
Austria,Education,2014,0,0.0
Austria,Education,2015,0,0.0
Austria,Education,2016,0,0.0
Austria,Education,2017,1,44.0
Austria,Education,2018,0,0.0
Austria,Education,2019,1,102.0
Austria,Education,2020,1,103.0
Austria,Education,2021,0,0.0
Austria,Environment,1990,0,0.0
Austria,Environment,1991,0,0.0
Austria,Environment,1992,0,0.0
Austria,Environment,1993,0,0.0
Austria,Environment,1994,0,0.0
Austria,Environment,1995,0,0.0
Austria,Environment,1996,0,0.0
Austria,Environment,1997,0,0.0
Austria,Environment,1998,0,0.0
Austria,Environment,1999,0,0.0
Austria,Environment,2000,0,0.0
Austria,Environment,2001,0,0.0
Austria,Environment,2002,1,144.0
Austria,Environment,2003,0,0.0
Austria,Environment,2004,0,0.0
Austria,Environment,2005,0,0.0
Austria,Environment,2006,0,0.0
Austria,Environment,2007,0,0.0
Austria,Environment,2008,0,0.0
Austria,Environment,2009,0,0.0
Austria,Environment,2010,0,0.0
Austria,Environment,2011,0,0.0
Austria,Environment,2012,0,0.0
Austria,Environment,2013,0,0.0
Austria,Environment,2014,0,0.0
Austria,Environment,2015,0,0.0
Austria,Environment,2016,0,0.0
Austria,Environment,2017,0,0.0
Austria,Environment,2018,0,0.0
Austria,Environment,2019,0,0.0
Austria,Environment,2020,0,0.0
Austria,Environment,2021,0,0.0
Austria,General Public Services,1990,0,0.0
Austria,General Public Services,1991,0,0.0
Austria,General Public Services,1992,0,0.0
Austria,General Public Services,1993,0,0.0
Austria,General Public Services,1994,0,0.0
Austria,General Public Services,1995,0,0.0
Austria,General Public Services,1996,0,0.0
Austria,General Public Services,1997,0,0.0
Austria,General Public Services,1998,0,0.0
Austria,General Public Services,1999,0,0.0
Austria,General Public Services,2000,0,0.0
Austria,General Public Services,2001,0,0.0
Austria,General Public Services,2002,0,0.0
Austria,General Public Services,2003,0,0.0
Austria,General Public Services,2004,0,0.0
Austria,General Public Services,2005,0,0.0
Austria,General Public Services,2006,0,0.0
Austria,General Public Services,2007,0,0.0
Austria,General Public Services,2008,0,0.0
Austria,General Public Services,2009,0,0.0
Austria,General Public Services,2010,0,0.0
Austria,General Public Services,2011,0,0.0
Austria,General Public Services,2012,0,0.0
Austria,General Public Services,2013,0,0.0
Austria,General Public Services,2014,0,0.0
Austria,General Public Services,2015,0,0.0
Austria,General Public Services,2016,0,0.0
Austria,General Public Services,2017,0,0.0
Austria,General Public Services,2018,0,0.0
Austria,General Public Services,2019,0,0.0
Austria,General Public Services,2020,0,0.0
Austria,General Public Services,2021,0,0.0
Austria,Healthcare,1990,0,0.0
Austria,Healthcare,1991,0,0.0
Austria,Healthcare,1992,0,0.0
Austria,Healthcare,1993,0,0.0
Austria,Healthcare,1994,0,0.0
Austria,Healthcare,1995,0,0.0
Austria,Healthcare,1996,0,0.0
Austria,Healthcare,1997,0,0.0
Austria,Healthcare,1998,0,0.0
Austria,Healthcare,1999,0,0.0
Austria,Healthcare,2000,0,0.0
Austria,Healthcare,2001,0,0.0
Austria,Healthcare,2002,0,0.0
Austria,Healthcare,2003,0,0.0
Austria,Healthcare,2004,0,0.0
Austria,Healthcare,2005,0,0.0
Austria,Healthcare,2006,0,0.0
Austria,Healthcare,2007,0,0.0
Austria,Healthcare,2008,0,0.0
Austria,Healthcare,2009,0,0.0
Austria,Healthcare,2010,0,0.0
Austria,Healthcare,2011,0,0.0
Austria,Healthcare,2012,0,0.0
Austria,Healthcare,2013,0,0.0
Austria,Healthcare,2014,0,0.0
Austria,Healthcare,2015,0,0.0
Austria,Healthcare,2016,1,80.0
Austria,Healthcare,2017,0,0.0
Austria,Healthcare,2018,0,0.0
Austria,Healthcare,2019,0,0.0
Austria,Healthcare,2020,0,0.0
Austria,Healthcare,2021,0,0.0
Austria,Housing and Community Services,1990,0,0.0
Austria,Housing and Community Services,1991,0,0.0
Austria,Housing and Community Services,1992,0,0.0
Austria,Housing and Community Services,1993,0,0.0
Austria,Housing and Community Services,1994,0,0.0
Austria,Housing and Community Services,1995,0,0.0
Austria,Housing and Community Services,1996,0,0.0
Austria,Housing and Community Services,1997,0,0.0
Austria,Housing and Community Services,1998,0,0.0
Austria,Housing and Community Services,1999,0,0.0
Austria,Housing and Community Services,2000,0,0.0
Austria,Housing and Community Services,2001,0,0.0
Austria,Housing and Community Services,2002,0,0.0
Austria,Housing and Community Services,2003,0,0.0
Austria,Housing and Community Services,2004,0,0.0
Austria,Housing and Community Services,2005,0,0.0
Austria,Housing and Community Services,2006,0,0.0
Austria,Housing and Community Services,2007,0,0.0
Austria,Housing and Community Services,2008,0,0.0
Austria,Housing and Community Services,2009,0,0.0
Austria,Housing and Community Services,2010,0,0.0
Austria,Housing and Community Services,2011,0,0.0
Austria,Housing and Community Services,2012,0,0.0
Austria,Housing and Community Services,2013,0,0.0
Austria,Housing and Community Services,2014,0,0.0
Austria,Housing and Community Services,2015,0,0.0
Austria,Housing and Community Services,2016,0,0.0
Austria,Housing and Community Services,2017,0,0.0
Austria,Housing and Community Services,2018,0,0.0
Austria,Housing and Community Services,2019,0,0.0
Austria,Housing and Community Services,2020,0,0.0
Austria,Housing and Community Services,2021,0,0.0
Austria,Public Order and Safety,1990,0,0.0
Austria,Public Order and Safety,1991,0,0.0
Austria,Public Order and Safety,1992,0,0.0
Austria,Public Order and Safety,1993,0,0.0
Austria,Public Order and Safety,1994,0,0.0
Austria,Public Order and Safety,1995,0,0.0
Austria,Public Order and Safety,1996,0,0.0
Austria,Public Order and Safety,1997,0,0.0
Austria,Public Order and Safety,1998,0,0.0
Austria,Public Order and Safety,1999,0,0.0
Austria,Public Order and Safety,2000,0,0.0
Austria,Public Order and Safety,2001,0,0.0
Austria,Public Order and Safety,2002,0,0.0
Austria,Public Order and Safety,2003,0,0.0
Austria,Public Order and Safety,2004,0,0.0
Austria,Public Order and Safety,2005,0,0.0
Austria,Public Order and Safety,2006,0,0.0
Austria,Public Order and Safety,2007,0,0.0
Austria,Public Order and Safety,2008,0,0.0
Austria,Public Order and Safety,2009,0,0.0
Austria,Public Order and Safety,2010,0,0.0
Austria,Public Order and Safety,2011,0,0.0
Austria,Public Order and Safety,2012,0,0.0
Austria,Public Order and Safety,2013,0,0.0
Austria,Public Order and Safety,2014,0,0.0
Austria,Public Order and Safety,2015,0,0.0
Austria,Public Order and Safety,2016,0,0.0
Austria,Public Order and Safety,2017,0,0.0
Austria,Public Order and Safety,2018,0,0.0
Austria,Public Order and Safety,2019,0,0.0
Austria,Public Order and Safety,2020,0,0.0
Austria,Public Order and Safety,2021,0,0.0
Austria,RDI,1990,0,0.0
Austria,RDI,1991,0,0.0
Austria,RDI,1992,0,0.0
Austria,RDI,1993,0,0.0
Austria,RDI,1994,0,0.0
Austria,RDI,1995,0,0.0
Austria,RDI,1996,0,0.0
Austria,RDI,1997,0,0.0
Austria,RDI,1998,0,0.0
Austria,RDI,1999,0,0.0
Austria,RDI,2000,0,0.0
Austria,RDI,2001,0,0.0
Austria,RDI,2002,0,0.0
Austria,RDI,2003,0,0.0
Austria,RDI,2004,0,0.0
Austria,RDI,2005,0,0.0
Austria,RDI,2006,0,0.0
Austria,RDI,2007,0,0.0
Austria,RDI,2008,0,0.0
Austria,RDI,2009,0,0.0
Austria,RDI,2010,0,0.0
Austria,RDI,2011,0,0.0
Austria,RDI,2012,0,0.0
Austria,RDI,2013,0,0.0
Austria,RDI,2014,0,0.0
Austria,RDI,2015,0,0.0
Austria,RDI,2016,0,0.0
Austria,RDI,2017,0,0.0
Austria,RDI,2018,0,0.0
Austria,RDI,2019,0,0.0
Austria,RDI,2020,0,0.0
Austria,RDI,2021,0,0.0
Austria,Recreation and Culture,1990,0,0.0
Austria,Recreation and Culture,1991,0,0.0
Austria,Recreation and Culture,1992,0,0.0
Austria,Recreation and Culture,1993,0,0.0
Austria,Recreation and Culture,1994,0,0.0
Austria,Recreation and Culture,1995,0,0.0
Austria,Recreation and Culture,1996,0,0.0
Austria,Recreation and Culture,1997,0,0.0
Austria,Recreation and Culture,1998,0,0.0
Austria,Recreation and Culture,1999,0,0.0
